target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,catalog_planets,mean_depth_ppm,runtime_proxy,shard_id
98,K03277,3120904,thin,single,0.182,1,K03277.01,42.9136635,42.9136635,18.2,1,K03277.01,42.9136635,42.9136635,18.2,not_in_previous_592_target_launch,1,160.6,1.35,1
100,K03460,9664276,thin,single,0.0803,1,K03460.01,62.596544,62.596544,15.5,1,K03460.01,62.596544,62.596544,15.5,not_in_previous_592_target_launch,1,223.1,1.35,1
102,K03486,8121328,thin,single,0.3149,1,K03486.01,19.0689513,19.0689513,19.1,1,K03486.01,19.0689513,19.0689513,19.1,not_in_previous_592_target_launch,1,169.3,1.35,1
106,K04226,9491832,thin,single,0.1752,1,K04226.01,49.564693,49.564693,15.0,1,K04226.01,49.564693,49.564693,15.0,not_in_previous_592_target_launch,1,113.5,1.35,1
107,K04318,9286088,thin,single,0.0504,1,K04318.01,14.8162925,14.8162925,12.5,1,K04318.01,14.8162925,14.8162925,12.5,not_in_previous_592_target_launch,1,108.2,1.35,1
110,K04377,4945764,thin,single,0.0512,1,K04377.01,19.8751355,19.8751355,15.2,1,K04377.01,19.8751355,19.8751355,15.2,not_in_previous_592_target_launch,1,109.0,1.35,1
112,K04482,7778427,thin,single,0.0663,1,K04482.01,5.38299284,5.38299284,10.7,1,K04482.01,5.38299284,5.38299284,10.7,not_in_previous_592_target_launch,1,35.1,1.35,1
113,K04747,8047428,thin,single,0.0669,1,K04747.01,92.263742,92.263742,12.2,1,K04747.01,92.263742,92.263742,12.2,not_in_previous_592_target_launch,1,296.9,1.35,1
114,K04818,9459162,thin,single,0.0595,1,K04818.01,3.79892774,3.79892774,8.3,1,K04818.01,3.79892774,3.79892774,8.3,not_in_previous_592_target_launch,1,47.0,1.35,1
117,K04977,3425363,thin,single,0.1477,1,K04977.01,25.5338535,25.5338535,8.3,1,K04977.01,25.5338535,25.5338535,8.3,not_in_previous_592_target_launch,1,368.0,1.35,1
118,K05178,5551240,thin,single,0.0492,1,K05178.01,4.13960513,4.13960513,11.6,1,K05178.01,4.13960513,4.13960513,11.6,not_in_previous_592_target_launch,1,106.7,1.35,1
120,K05411,7672215,thin,single,0.0828,1,K05411.01,11.1734401,11.1734401,9.0,1,K05411.01,11.1734401,11.1734401,9.0,not_in_previous_592_target_launch,1,61.3,1.35,1
123,K05748,9993683,thin,single,0.0451,1,K05748.01,29.9371143,29.9371143,11.6,1,K05748.01,29.9371143,29.9371143,11.6,not_in_previous_592_target_launch,1,194.3,1.35,1
127,K06102,3545840,thin,single,0.0727,1,K06102.01,54.2916336,54.2916336,7.9,1,K06102.01,54.2916336,54.2916336,7.9,not_in_previous_592_target_launch,1,97.8,1.35,1
130,K06949,8007675,thin,single,0.0633,1,K06949.01,2.352446342,2.352446342,7.2,1,K06949.01,2.352446342,2.352446342,7.2,not_in_previous_592_target_launch,1,32.5,1.35,1
134,K07572,6876575,thin,single,0.0449,1,K07572.01,91.069934,91.069934,8.7,1,K07572.01,91.069934,91.069934,8.7,not_in_previous_592_target_launch,1,12.7,1.35,1
136,K07780,6451368,thin,single,0.0958,1,K07780.01,5.3360574,5.3360574,7.0,1,K07780.01,5.3360574,5.3360574,7.0,not_in_previous_592_target_launch,1,54.7,1.35,1
140,K08052,11358305,thin,single,0.0751,1,K08052.01,7.8687123,7.8687123,9.1,1,K08052.01,7.8687123,7.8687123,9.1,not_in_previous_592_target_launch,1,89.1,1.35,1
8,K00674,7277317,thick,single,0.8343,1,K00674.01,16.33888067,16.33888067,201.9,1,K00674.01,16.33888067,16.33888067,201.9,previously_launched_no_usable_result,1,1718.4,1.2,1
53,K00134,9032900,thin,single,0.044,1,K00134.01,67.5923754,67.5923754,60.9,1,K00134.01,67.5923754,67.5923754,60.9,previously_launched_no_usable_result,1,4158.1,1.2,1
109,K04363,9776794,thin,single,0.0826,1,K04363.01,18.22211768,18.22211768,15.2,1,K04363.01,18.22211768,18.22211768,15.2,previously_launched_no_usable_result,1,2318.0,1.2,1
128,K06301,2994092,thin,single,0.0577,1,K06301.01,50.271927,50.271927,9.3,1,K06301.01,50.271927,50.271927,9.3,previously_launched_no_usable_result,1,574.5,1.2,1
138,K08007,10403228,thin,single,0.0707,1,K08007.01,67.176626864,67.176626864,5.9,1,K08007.01,67.176626864,67.176626864,5.9,previously_launched_no_usable_result,1,1689.9,1.2,1
50,K00012,5812701,thin,single,0.0494,1,K00012.01,17.855221681,17.855221681,915.7,1,K00012.01,17.855221681,17.855221681,915.7,not_in_previous_592_target_launch,1,9065.2,1.0,1
52,K00131,7778437,thin,single,0.0475,1,K00131.01,5.014234733,5.014234733,794.3,1,K00131.01,5.014234733,5.014234733,794.3,not_in_previous_592_target_launch,1,6536.0,1.0,1
55,K00366,3545478,thin,single,0.2154,1,K00366.01,75.1122132,75.1122132,384.0,1,K00366.01,75.1122132,75.1122132,384.0,not_in_previous_592_target_launch,1,3751.5,1.0,1
62,K00840,5651104,thin,single,0.0485,1,K00840.01,3.04033046,3.04033046,568.2,1,K00840.01,3.04033046,3.04033046,568.2,not_in_previous_592_target_launch,1,10859.0,1.0,1
68,K01814,5621125,thin,single,0.1337,1,K01814.01,14.80075082,14.80075082,54.0,1,K01814.01,14.80075082,14.80075082,54.0,not_in_previous_592_target_launch,1,501.4,1.0,1
75,K02069,11360571,thin,single,0.0468,1,K02069.01,77.2550726,77.2550726,44.0,1,K02069.01,77.2550726,77.2550726,44.0,not_in_previous_592_target_launch,1,589.5,1.0,1
82,K02445,6516185,thin,single,0.2477,1,K02445.01,47.3659328,47.3659328,16.0,1,K02445.01,47.3659328,47.3659328,16.0,not_in_previous_592_target_launch,1,757.0,1.0,1
87,K02728,4178606,thin,single,0.09,1,K02728.01,42.3520039,42.3520039,30.5,1,K02728.01,42.3520039,42.3520039,30.5,not_in_previous_592_target_launch,1,512.6,1.0,1
105,K04166,4078311,thin,single,0.1925,1,K04166.01,9.84262076,9.84262076,16.8,1,K04166.01,9.84262076,9.84262076,16.8,not_in_previous_592_target_launch,1,626.4,1.0,1
