kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
7289317,K02450.01,thin,multi,single,2,16.83203175,21.6,1.86,0.0760779007899866,direct,raw_confirmed_only_count_gt1
11074835,K02533.01,thick,multi,single,3,6.03355539,26.1,3.34,0.989683233021719,direct,raw_confirmed_only_count_gt1
1996180,K02534.01,thin,multi,single,2,3.02558494,23.8,1.62,0.0447294993293395,direct,raw_confirmed_only_count_gt1
1996180,K02534.02,thin,multi,single,2,5.42204257,10.7,1.39,0.0447294993293395,direct,raw_confirmed_only_count_gt1
4665571,K02393.01,thin,single,multi,2,4.60300256,22.2,1.32,0.0364207247435909,direct,raw_confirmed_only_count_gt1
10916600,K02623.01,thin,multi,single,2,5.57654782,13.2,0.92,0.0501571357667272,direct,raw_confirmed_only_count_gt1
7609553,K02924.01,thin,multi,single,2,2.279523364,16.7,0.87,0.069851417619644,direct,raw_confirmed_only_count_gt1
9092504,K02716.02,thin,single,multi,2,6.46004728,17.0,1.8,0.0379121487026378,direct,raw_confirmed_only_count_gt1
8760040,K02963.01,thick,multi,single,2,18.2206024,19.7,1.78,0.8765876729478399,direct,raw_confirmed_only_count_gt1
8760040,K02963.02,thick,multi,single,2,7.35101287,12.8,1.42,0.8765876729478399,direct,raw_confirmed_only_count_gt1
6779260,K02678.01,thin,multi,single,2,3.833087643,40.2,2.25,0.2274401698061268,direct,raw_confirmed_only_count_gt1
4831728,K02739.01,thin,multi,single,2,10.10773789,25.3,1.98,0.0478706940415952,direct,raw_confirmed_only_count_gt1
4831728,K02739.02,thin,multi,single,2,7.0956395,10.5,1.2,0.0478706940415952,direct,raw_confirmed_only_count_gt1
6716545,K02906.01,thin,multi,single,3,13.9093544,15.6,1.33,0.0413100027191113,direct,raw_confirmed_only_count_gt1
9475552,K02694.02,thin,single,multi,2,6.56606941,25.8,1.83,0.0834167311266802,direct,raw_confirmed_only_count_gt1
6029239,K00304.01,thick,multi,single,2,8.512037736,102.2,2.14,0.9992008707235276,direct,raw_confirmed_only_count_gt1
9020114,K03088.01,thin,multi,single,2,3.48412874,13.3,1.16,0.0587959370824046,direct,raw_confirmed_only_count_gt1
6029239,K00304.02,thick,multi,single,2,5.518195,5.2,0.46,0.9992008707235276,direct,raw_confirmed_only_count_gt1
12406807,K03091.01,thin,multi,single,2,17.067644,13.5,1.62,0.0998769614278247,direct,raw_confirmed_only_count_gt1
8709688,K03019.01,thin,multi,single,2,4.17939037,16.1,1.52,0.1561934925133797,direct,raw_confirmed_only_count_gt1
10285631,K00331.01,thin,multi,single,2,18.68405716,54.2,3.64,0.0663123011346644,direct,raw_confirmed_only_count_gt1
8827575,K03052.01,thin,multi,single,2,10.12956201,12.2,0.78,0.0488239098720795,direct,raw_confirmed_only_count_gt1
8827575,K03052.02,thin,multi,single,2,15.6112238,15.7,0.91,0.0488239098720795,direct,raw_confirmed_only_count_gt1
2716801,K03053.01,thin,multi,single,2,42.5217006,14.7,2.45,0.3085990887596749,direct,raw_confirmed_only_count_gt1
4857058,K03061.01,thin,multi,single,2,7.32851947,14.0,2.33,0.0340868550895426,direct,raw_confirmed_only_count_gt1
7609553,K02924.02,thin,multi,single,2,8.85686712,11.9,1.88,0.069851417619644,direct,raw_confirmed_only_count_gt1
12256520,K02264.02,thin,multi,single,2,7.25101997,12.2,0.91,0.0487470288572413,direct,raw_confirmed_only_count_gt1
10000941,K04146.02,thin,multi,single,2,2.5738437,10.9,0.57,0.0536059045760287,direct,raw_confirmed_only_count_gt1
6103377,K03004.01,thin,multi,single,2,20.0708757,12.8,3.2,0.0465123658343458,direct,raw_confirmed_only_count_gt1
8558011,K00577.01,thin,single,multi,2,39.6766071,24.9,2.29,0.0685674754997155,direct,raw_confirmed_only_count_gt1
12406807,K03091.02,thin,multi,single,2,7.9069765,8.3,1.13,0.0998769614278247,direct,raw_confirmed_only_count_gt1
4548011,K04288.04,thin,multi,single,4,13.9509565,11.2,0.75,0.4046000758464096,direct,raw_confirmed_only_count_gt1
10717241,K00430.01,thin,multi,single,2,12.37646897,81.2,2.53,0.0452220367373067,direct,raw_confirmed_only_count_gt1
10717241,K00430.02,thin,multi,single,2,9.340538,11.1,0.84,0.0452220367373067,direct,raw_confirmed_only_count_gt1
