kepid,kepoi_name,disk,system,new_system,koi_count,koi_period,koi_model_snr,koi_prad,P_thick,classifier,system_definition
5184911,K02719.01,thin,single,multi,2,4.11585514,20.8,1.93,0.0455383699900009,direct,raw_confirmed_candidate_count_gt1
6436029,K02828.01,thin,single,multi,2,59.4969009,23.2,2.92,0.0454810708778015,direct,raw_confirmed_candidate_count_gt1
9475552,K02694.02,thin,single,multi,2,6.56606941,25.8,1.83,0.0834167311266802,direct,raw_confirmed_candidate_count_gt1
10545066,K00337.01,thin,single,multi,2,19.7830259,41.8,2.1,0.0918044488619189,direct,raw_confirmed_candidate_count_gt1
1717722,K03145.01,thick,single,multi,2,4.53702121,15.7,1.66,0.999328341752168,direct,raw_confirmed_candidate_count_gt1
8558011,K00577.01,thin,single,multi,2,39.6766071,24.9,2.29,0.0685674754997155,direct,raw_confirmed_candidate_count_gt1
9478990,K00423.01,thin,single,multi,2,21.0871953,556.2,14.43,0.036139972404427,direct,raw_confirmed_candidate_count_gt1
3559935,K00492.01,thin,single,multi,2,29.9111886,50.8,2.9,0.03559117593603,direct,raw_confirmed_candidate_count_gt1
10718726,K00600.01,thin,single,multi,2,3.595769013,45.9,2.39,0.0396422764453231,direct,raw_confirmed_candidate_count_gt1
4914423,K00108.01,thin,single,multi,2,15.96532718,144.2,3.33,0.0795530415191607,direct,raw_confirmed_candidate_count_gt1
5966154,K00655.01,thin,single,multi,2,25.6721559,78.4,2.68,0.0358684514973412,direct,raw_confirmed_candidate_count_gt1
10610039,K04577.02,thick,single,multi,2,3.07365139,9.6,0.79,0.8917103910647705,direct,raw_confirmed_candidate_count_gt1
9873254,K00717.01,thick,single,multi,2,14.70749512,36.3,2.04,0.5717075430784553,direct,raw_confirmed_candidate_count_gt1
2581316,K03681.02,thin,single,multi,2,10.51421162,21.6,1.25,0.0450108309477504,direct,raw_confirmed_candidate_count_gt1
8257205,K01986.02,thin,single,multi,2,7.12766417,16.0,1.21,0.0437129486330045,direct,raw_confirmed_candidate_count_gt1
4947556,K03936.02,thin,single,multi,2,13.0267964,11.4,2.08,0.066633558789066,direct,raw_confirmed_candidate_count_gt1
3747817,K04103.02,thin,single,multi,2,14.2378417,10.5,1.1,0.0727477678387541,direct,raw_confirmed_candidate_count_gt1
2854181,K02232.02,thin,single,multi,2,12.834857,9.4,1.73,0.2387431770570816,direct,raw_confirmed_candidate_count_gt1
6964929,K02756.02,thin,single,multi,2,5.06993245,11.6,0.92,0.0636644530194761,direct,raw_confirmed_candidate_count_gt1
11918099,K00780.01,thin,multi,single,2,2.337437946,82.4,2.34,0.1259439798448633,direct,raw_confirmed_only_count_gt1
11918099,K00780.02,thin,multi,single,2,7.2406612,13.7,19.45,0.1259439798448633,direct,raw_confirmed_only_count_gt1
7373451,K00881.01,thin,single,multi,2,21.02250608,62.4,3.07,0.0929317242203308,direct,raw_confirmed_only_count_gt1
8490993,K00911.01,thin,single,multi,2,4.093578461,36.4,2.85,0.1440401686715712,direct,raw_confirmed_only_count_gt1
2837111,K01110.01,thin,multi,single,2,8.7348852,24.8,1.59,0.0511964021640556,direct,raw_confirmed_only_count_gt1
8559644,K00139.02,thin,single,multi,2,3.341799486,48.8,1.67,0.0380581252045982,direct,raw_confirmed_only_count_gt1
1432789,K00992.01,thin,multi,single,2,9.93146307,26.2,2.41,0.0865910157408731,direct,raw_confirmed_only_count_gt1
1871056,K01001.01,thin,single,multi,2,40.8065333,54.8,3.71,0.0660998437367414,direct,raw_confirmed_only_count_gt1
10157458,K01083.01,thin,multi,single,2,7.33685101,21.6,1.52,0.0729182290134359,direct,raw_confirmed_only_count_gt1
10794087,K01316.01,thick,multi,single,2,7.64970832,28.5,1.43,0.962374132644652,direct,raw_confirmed_only_count_gt1
10794087,K01316.02,thick,multi,single,2,12.37679312,,,0.962374132644652,direct,raw_confirmed_only_count_gt1
4466677,K01338.01,thin,multi,single,3,3.222975318,31.3,1.47,0.0780277327016409,direct,raw_confirmed_only_count_gt1
4466677,K01338.02,thin,multi,single,3,42.0370662,14.7,1.66,0.0780277327016409,direct,raw_confirmed_only_count_gt1
4466677,K01338.03,thin,multi,single,3,21.0112068,10.2,1.4,0.0780277327016409,direct,raw_confirmed_only_count_gt1
8874090,K01404.01,thin,multi,single,2,13.32389352,25.9,1.26,0.0363539281239349,direct,raw_confirmed_only_count_gt1
7303287,K01353.02,thin,single,multi,3,34.5439452,23.4,2.67,0.047952141244379,direct,raw_confirmed_only_count_gt1
9896558,K01718.01,thin,single,multi,2,67.6690554,37.2,3.39,0.208393431233014,direct,raw_confirmed_only_count_gt1
9015738,K01616.01,thin,multi,single,2,13.93291548,28.9,1.66,0.052572883877067,direct,raw_confirmed_only_count_gt1
6209677,K01750.01,thin,multi,single,2,7.76845639,23.6,1.35,0.0717647218461519,direct,raw_confirmed_only_count_gt1
7663405,K01519.01,thin,multi,single,2,5.1443645,20.2,1.55,0.0397387334428799,direct,raw_confirmed_only_count_gt1
11337372,K01650.01,thick,single,multi,2,6.53194024,39.6,3.09,0.9304023952311616,direct,raw_confirmed_only_count_gt1
12266636,K01522.01,thin,multi,single,2,33.3856176,37.1,2.48,0.0483939760628277,direct,raw_confirmed_only_count_gt1
7939330,K01581.01,thick,single,multi,2,29.5422566,39.5,3.15,0.9975827860177974,direct,raw_confirmed_only_count_gt1
4932442,K01665.01,thin,multi,single,2,6.93365167,20.1,1.7,0.0354038274273134,direct,raw_confirmed_only_count_gt1
4932442,K01665.02,thin,multi,single,2,5.91393977,2.8,1.07,0.0354038274273134,direct,raw_confirmed_only_count_gt1
8692861,K00172.01,thick,single,multi,2,13.7223682,97.9,2.23,0.6473619407664287,direct,raw_confirmed_only_count_gt1
9663113,K00179.01,thick,single,multi,2,20.74028645,155.3,4.24,0.9816852819847428,direct,raw_confirmed_only_count_gt1
7703955,K01707.01,thin,single,multi,2,96.109323,28.7,4.01,0.0519383349438238,direct,raw_confirmed_only_count_gt1
7512982,K01480.01,thin,multi,single,2,20.38174802,46.8,3.16,0.0472068486014553,direct,raw_confirmed_only_count_gt1
7512982,K01480.02,thin,multi,single,2,7.00447892,9.9,1.19,0.0472068486014553,direct,raw_confirmed_only_count_gt1
7898352,K01486.02,thick,single,multi,2,30.1837021,37.9,3.65,0.9993712024148385,direct,raw_confirmed_only_count_gt1
9634821,K02037.01,thin,multi,single,3,73.7578875,20.2,4.28,0.0543014544230302,direct,raw_confirmed_only_count_gt1
9634821,K02037.03,thin,multi,single,3,8.56267266,15.2,2.26,0.0543014544230302,direct,raw_confirmed_only_count_gt1
9650808,K01970.01,thick,single,multi,2,21.96401646,26.9,2.57,0.7056457782796478,direct,raw_confirmed_only_count_gt1
8804845,K02039.01,thin,single,multi,2,5.42586901,26.1,1.48,0.0500728633658312,direct,raw_confirmed_only_count_gt1
7765528,K01840.01,thin,multi,single,2,7.03932913,48.6,4.67,0.0554032285623623,direct,raw_confirmed_only_count_gt1
8226050,K01910.01,thin,multi,single,2,34.2685741,38.2,2.44,0.0498261028283629,direct,raw_confirmed_only_count_gt1
8218379,K01920.01,thin,multi,single,2,16.57099265,40.9,2.03,0.0750761579967908,direct,raw_confirmed_only_count_gt1
9839821,K02012.01,thin,single,multi,2,34.8536903,27.0,2.4,0.0346875514277763,direct,raw_confirmed_only_count_gt1
9973109,K02018.01,thin,multi,single,2,27.495634,24.7,2.11,0.0543561869166339,direct,raw_confirmed_only_count_gt1
10005788,K01940.01,thin,multi,single,2,10.99470891,32.7,1.71,0.0776606784130133,direct,raw_confirmed_only_count_gt1
10005788,K01940.02,thin,multi,single,2,6.73679732,,,0.0776606784130133,direct,raw_confirmed_only_count_gt1
2832589,K01942.01,thin,multi,single,2,10.84969477,43.5,2.67,0.040552008113994,direct,raw_confirmed_only_count_gt1
11656918,K01945.01,thin,multi,single,2,62.1385979,36.1,5.14,0.0496480234945507,direct,raw_confirmed_only_count_gt1
11656918,K01945.02,thin,multi,single,2,17.1181036,6.1,1.22,0.0496480234945507,direct,raw_confirmed_only_count_gt1
9872283,K01815.01,thin,multi,single,2,3.126861192,94.6,5.12,0.0393147778738343,direct,raw_confirmed_only_count_gt1
5942808,K02250.01,thin,single,multi,2,2.935362067,38.0,3.15,0.046613611171255,direct,raw_confirmed_only_count_gt1
7033233,K02339.01,thin,multi,single,2,2.032318856,20.4,1.12,0.0485771523329192,direct,raw_confirmed_only_count_gt1
7033233,K02339.02,thin,multi,single,2,65.18703725,,,0.0485771523329192,direct,raw_confirmed_only_count_gt1
7620413,K02103.01,thick,multi,single,2,2.543063763,26.5,1.26,0.9597841650220936,direct,raw_confirmed_only_count_gt1
3734418,K02261.01,thin,multi,single,2,3.97599629,27.3,1.11,0.0572261335168847,direct,raw_confirmed_only_count_gt1
3734418,K02261.02,thin,multi,single,2,6.6254781,2.7,0.9,0.0572261335168847,direct,raw_confirmed_only_count_gt1
12256520,K02264.01,thin,multi,single,2,33.2407985,20.4,1.51,0.0487470288572413,direct,raw_confirmed_only_count_gt1
8282651,K02193.01,thin,multi,single,2,2.361724472,34.6,1.53,0.134087128376247,direct,raw_confirmed_only_count_gt1
8168187,K02209.01,thick,multi,single,2,18.3027235,24.7,2.72,0.888697902919789,direct,raw_confirmed_only_count_gt1
4142847,K02210.01,thin,single,multi,2,2.888904439,23.7,1.68,0.0410531127642531,direct,raw_confirmed_only_count_gt1
11560897,K02365.01,thin,single,multi,2,35.9682692,21.0,2.95,0.0507057776039017,direct,raw_confirmed_only_count_gt1
9517393,K02076.01,thin,single,multi,2,56.7769831,33.6,3.21,0.0983876675882683,direct,raw_confirmed_only_count_gt1
9351316,K02078.01,thin,single,multi,2,18.78429232,23.8,2.14,0.0436516595194216,direct,raw_confirmed_only_count_gt1
8892157,K02224.01,thick,multi,single,2,3.73090026,24.0,1.48,0.9681978529887464,direct,raw_confirmed_only_count_gt1
8892157,K02224.02,thick,multi,single,2,86.130534,3.7,1.47,0.9681978529887464,direct,raw_confirmed_only_count_gt1
5978559,K02321.01,thin,multi,single,2,95.6114617,21.6,2.37,0.1418219779604052,direct,raw_confirmed_only_count_gt1
10730703,K02327.01,thin,multi,single,2,5.60013327,22.8,1.73,0.1181287046150954,direct,raw_confirmed_only_count_gt1
4173026,K02172.01,thin,single,multi,2,10.44087398,22.2,3.41,0.0428685404349355,direct,raw_confirmed_only_count_gt1
6198182,K02636.01,thin,multi,single,2,3.88148385,11.9,0.59,0.0466662369287657,direct,raw_confirmed_only_count_gt1
5175024,K02563.01,thick,multi,single,2,23.4772553,17.6,1.34,0.999566598012088,direct,raw_confirmed_only_count_gt1
9026749,K02564.01,thin,multi,single,2,66.5576728,21.3,4.96,0.1121724835139624,direct,raw_confirmed_only_count_gt1
7107802,K02420.01,thin,multi,single,2,10.41728722,20.3,1.64,0.1656391356456746,direct,raw_confirmed_only_count_gt1
11360805,K02422.01,thick,multi,single,2,26.7838935,20.9,1.59,0.9980963292986124,direct,raw_confirmed_only_count_gt1
8212002,K02593.01,thin,multi,single,2,14.7966306,22.4,0.98,0.0748803292487416,direct,raw_confirmed_only_count_gt1
7778767,K02523.01,thin,multi,single,2,13.0313583,18.9,2.88,0.3519242742323542,direct,raw_confirmed_only_count_gt1
