target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr,prior_launch_status,population,recovery_class,canonical_action
53,K00134,9032900,thin,single,0.044,1,K00134.01,67.5923754,67.5923754,60.9,1,K00134.01,67.5923754,67.5923754,60.9,previously_launched_no_usable_result,thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
54,K00155,8030148,thin,single,0.0857,1,K00155.01,5.660669429,5.660669429,201.1,1,K00155.01,5.660669429,5.660669429,201.1,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
55,K00366,3545478,thin,single,0.2154,1,K00366.01,75.1122132,75.1122132,384.0,1,K00366.01,75.1122132,75.1122132,384.0,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
56,K00393,3964109,thin,single,0.0869,1,K00393.01,21.41624083,21.41624083,42.7,1,K00393.01,21.41624083,21.41624083,42.7,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
57,K00501,4951877,thin,single,0.0571,1,K00501.01,24.7962801,24.7962801,43.6,1,K00501.01,24.7962801,24.7962801,43.6,previously_launched_no_usable_result,thin_singles,C_prior_failed_snr_ge_20,canonical_run_then_seeded_retry
58,K00611,6309763,thin,single,0.0587,1,K00611.01,3.251659087,3.251659087,466.2,1,K00611.01,3.251659087,3.251659087,466.2,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
59,K00629,4656049,thin,single,0.1007,1,K00629.01,40.6992062,40.6992062,38.5,1,K00629.01,40.6992062,40.6992062,38.5,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
60,K00673,7124613,thin,single,0.0504,1,K00673.01,4.41746257,4.41746257,22.6,1,K00673.01,4.41746257,4.41746257,22.6,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
61,K00685,7764367,thin,single,0.0654,1,K00685.01,3.173914037,3.173914037,76.1,1,K00685.01,3.173914037,3.173914037,76.1,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
62,K00840,5651104,thin,single,0.0485,1,K00840.01,3.04033046,3.04033046,568.2,1,K00840.01,3.04033046,3.04033046,568.2,not_in_previous_592_target_launch,thin_singles,A_never_attempted_snr_ge_20,canonical_run
