koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file,npl,dur14_med_hr,ror_med,b_med,koi_duration,koi_depth,koi_impact,koi_ror,dur_ratio_fit_vs_koi,depth_fit_ppm,depth_ratio_fit_vs_koi,ror_ratio_fit_vs_koi,b_bin,bfit_bin
K00670,7033671,K00670.01,9.48965527,0,9.490796969999964,0.0001203099551541,thick,single,0.2595137574027488,0.5231893306961668,0.7226281166284795,0.6441957274997885,0.5595989096075521,1.0427007222884894,4000,geometric,posteriors_48/K00670_K00670_01_eomega_posterior.npz,1,3.515443962627037,0.015246672402459183,0.5540281088152444,3.587,262.2,0.795,0.016446,0.9800512859289202,232.46101934791048,0.8865790211590789,0.9270748146941009,0.5-0.8,0.5-0.8
K00684,7730747,K00684.01,4.034914368,0,4.03464753500009,6.61310192915143e-05,thick,single,0.549325798593375,0.8083389327675098,0.8807658762105111,0.3467078711635759,0.3049218669483211,0.5459597116221829,3996,geometric,posteriors_48/K00684_K00684_01_eomega_posterior.npz,1,1.8426995229680183,0.039069082060835675,0.9731380368549819,1.7874,800.1,0.965,0.035486,1.0309385268927034,1526.393173076312,1.9077529972207374,1.1009717088664734,>0.9,>0.9
K00890,7585481,K00890.01,8.09888906,0,8.098980950000168,1.134600060430502e-05,thick,single,0.1556275992572647,0.3557259566230005,0.6272417785858255,0.81851842567212,0.7141079354167603,1.3013848585583985,4000,geometric,posteriors_48/K00890_K00890_01_eomega_posterior.npz,1,4.192089883643256,0.07653472254542804,0.11193790460688655,4.20241,6911.1,0.018,0.076211,0.9975442385781623,5857.563755105651,0.8475588191612985,1.0042477141807356,<0.5,<0.5
K01007,1725016,K01007.01,7.40742502,0,7.410290669999995,0.0003868618301579,thick,single,0.1346709500560822,0.3357278204500662,0.6146870483040041,0.8493997493845199,0.7318293440089588,1.3493905586720445,4000,geometric,posteriors_48/K01007_K01007_01_eomega_posterior.npz,1,3.6089791540078857,0.01979754542387273,0.43632263448956365,3.675,442.0,0.03,0.01917,0.9820351439477241,391.942804810304,0.8867484271726335,1.032735807192109,<0.5,<0.5
K01031,2584163,K01031.01,14.5598556,0,14.548794310000003,0.0007597115180177,thick,single,0.0954128846974001,0.2670209029909696,0.5704672008076646,0.9426257470877646,0.8081770477282763,1.5055154947263436,4000,geometric,posteriors_48/K01031_K01031_01_eomega_posterior.npz,1,5.74689903682898,0.01550352249909905,0.4813647093666921,5.624,290.6,0.026,0.015571,1.021852602565608,240.3592098800705,0.8271135921544063,0.9956664632392943,<0.5,<0.5
K01215,3939150,K01215.01,17.32419108,0,17.324674319999986,2.7893943085451487e-05,thick,multi,0.0752976910438759,0.2334361272123799,0.5642542389647375,1.217839360504668,1.0658080465260102,1.9169165075568264,4000,geometric,posteriors_48/K01215_K01215_01_eomega_posterior.npz,2,8.047964860561374,0.014447250975231658,0.4132266533086232,8.045,241.3,0.764,0.0155,1.0003685345632534,208.7230607413321,0.8649940353971491,0.9320807080794618,0.5-0.8,<0.5
K01215,3939150,K01215.02,33.0063185,1,33.00955275000001,9.798881386946112e-05,thick,multi,0.1282035132159215,0.3017688530128422,0.5939114808724211,0.8741675236462731,0.7715307329496498,1.3582063954468695,4000,geometric,posteriors_48/K01215_K01215_02_eomega_posterior.npz,2,7.2220055815177115,0.015660282393448206,0.4937648545309682,7.118,278.1,0.39,0.015448,1.0146116298844776,245.24444464254384,0.8818570465391723,1.0137417396069528,<0.5,<0.5
K01238,6383821,K01238.01,27.07237655,0,27.07434160999992,7.25854265616049e-05,thick,single,0.0938635523040884,0.2416909527612912,0.5550178439779409,0.9622313539967646,0.8411418451294166,1.5130913605406298,4000,geometric,posteriors_48/K01238_K01238_01_eomega_posterior.npz,1,6.89806875895942,0.02142244424451461,0.3975618486537572,6.9592,514.2,0.015,0.020659,0.9912157660304949,458.92111740933706,0.8924953664125574,1.0369545594905178,<0.5,<0.5
K01283,8700771,K01283.01,8.0922105,0,8.094413739999936,0.000272266768139,thick,single,0.0781841981814844,0.2191486356786308,0.539582181417827,0.9965421812873888,0.8671724575549467,1.5884829705603687,4000,geometric,posteriors_48/K01283_K01283_01_eomega_posterior.npz,1,5.348411388932228,0.007711375598348791,0.3948263266696194,5.7696,65.3,0.951,0.009433,0.9269986461682315,59.46531361880917,0.910647988036894,0.8174891973230988,>0.9,<0.5
K01308,10586208,K01308.01,23.58444746,0,23.584369002499955,3.326662631306932e-06,thick,single,0.1498515268058513,0.3516374205416512,0.6239738896872671,0.8186019655320842,0.7170133207639432,1.2774574045637643,4000,geometric,posteriors_48/K01308_K01308_01_eomega_posterior.npz,1,5.415043749360009,0.019405050346227002,0.4114028859339205,5.5545,429.2,0.711,0.020294,0.9748931045746709,376.5559789396047,0.8773438465508031,0.9561964297933874,0.5-0.8,<0.5
K01316,10794087,K01316.01,7.64970832,0,7.654714500000011,0.0006544275664632,thick,multi,0.0932283829752913,0.2543556147324502,0.5803851307974409,1.2296015868660315,1.0815128981049875,1.9318104313770088,4000,geometric,posteriors_48/K01316_K01316_01_eomega_posterior.npz,1,6.49176036808948,0.006805873463276462,0.49660798464523914,6.625,55.4,0.898,0.00812,0.9798883574474687,46.31991359813074,0.8360995234319628,0.8381617565611406,0.8-0.9,<0.5
K01536,12159249,K01536.01,3.74443645,0,3.7458904599999983,0.000388312105016,thick,single,0.1154329797770719,0.2875106489011035,0.5847737435108685,0.8994770289160849,0.7855862664909378,1.4488730457435612,4000,geometric,posteriors_48/K01536_K01536_01_eomega_posterior.npz,1,2.959905967072671,0.008035566451830624,0.5446064246416504,2.9191,73.3,0.169,0.007798,1.013978954839735,64.5703282017858,0.880904886791075,1.0304650489651992,<0.5,0.5-0.8
K01549,8053552,K01549.01,29.481061268,0,29.48087680500001,6.256999987758163e-06,thick,single,0.6415483232858636,0.8370653272837154,0.9063607336329624,0.3159836237672639,0.2513569528517063,0.4604300607963992,3704,geometric,posteriors_48/K01549_K01549_01_eomega_posterior.npz,1,3.6665081428268707,0.49317965374037864,1.365652335325305,3.6636,11871.0,0.983,0.168781,1.0007937937621112,243226.17086347978,20.489105455604395,2.9220093123063537,>0.9,>0.9
K01574,10028792,K01574.03,5.83393857,0,5.831875259999947,0.0003536735903705,thick,multi,0.0782610862305965,0.2505238423258232,0.5596266583055035,0.9802157765115578,0.8208889468987928,1.475563981253776,4000,geometric,posteriors_48/K01574_K01574_03_eomega_posterior.npz,2,3.92168442285073,0.007869303817697959,0.5735275395364634,4.5813,134.4,0.398,0.010694,0.8560199993125817,61.92594257523568,0.4607585013038369,0.7358615875909817,<0.5,0.5-0.8
K01574,10028792,K01574.04,8.9772888,1,8.972161185833333,0.0005711762516393,thick,multi,0.0813528956295779,0.2624648798025925,0.5824306110214811,0.9896875483079712,0.807181546994471,1.5422585497912835,4000,geometric,posteriors_48/K01574_K01574_04_eomega_posterior.npz,2,4.465578189098451,0.007739079240705456,0.28863398116222483,4.72,97.5,0.702,0.009644,0.9460970739615363,59.893347493918135,0.6142907435273655,0.8024760722423742,0.5-0.8,<0.5
K01621,5561278,K01621.01,20.31047472,0,20.311735705000046,6.208545183861707e-05,thick,single,0.1995872819972705,0.43312781737995,0.6711044485190091,0.7293236353998119,0.6409901392552999,1.131520535873977,4000,geometric,posteriors_48/K01621_K01621_01_eomega_posterior.npz,1,5.381649297317914,0.011766457687613393,0.4144682525480584,5.3357,164.6,0.05,0.011737,1.0086116718177396,138.4495265143963,0.8411271355674137,1.0025098140592479,<0.5,<0.5
K01705,7522911,K01705.01,20.4998763,0,20.50058847499997,3.4740453530048514e-05,thick,single,0.0638097993410809,0.2248342450971635,0.5468505751288859,1.1273322503746994,0.91180664655718,1.738389376701844,3999,geometric,posteriors_48/K01705_K01705_01_eomega_posterior.npz,1,6.627710866329352,0.02267683617343148,0.9352614017534984,6.501,437.8,0.943,0.023842,1.0194909808228505,514.2388988366505,1.174597758877685,0.9511297782665666,>0.9,>0.9
K01992,11450414,K01992.01,12.7983174,0,12.79433320999999,0.0003113057658664,thick,multi,0.0693452532659871,0.2280561197559654,0.5614720906383315,1.2151728369291892,1.0636078974143204,1.9767396956645344,4000,geometric,posteriors_48/K01992_K01992_01_eomega_posterior.npz,3,6.432636857236055,0.0170292622002428,0.5031568718943856,6.401,336.6,0.738,0.01815,1.00494248667959,289.9957710846183,0.8615441802870418,0.9382513608949202,0.5-0.8,0.5-0.8
K01992,11450414,K01992.02,27.3214242,1,27.325475627499934,0.0001482875662072,thick,multi,0.3735198036017043,0.6401711642435569,0.791387018256418,0.5296947715328377,0.4516429079147739,0.8154292002654315,4000,geometric,posteriors_48/K01992_K01992_02_eomega_posterior.npz,3,3.5318399977068653,0.016250231590494626,0.7367467911750347,4.836,279.6,0.983,0.022773,0.7303225801709812,264.07002674470954,0.9444564618909497,0.7135744781317623,>0.9,0.5-0.8
K01992,11450414,K01992.03,85.517344,2,85.52611482499992,0.000102561943457,thick,multi,0.0737981147860656,0.2520169939482489,0.5703245416075094,0.974900849870117,0.8096203571076962,1.4136881815102214,4000,geometric,posteriors_48/K01992_K01992_03_eomega_posterior.npz,3,10.631952527941827,0.023220449786688267,0.9674575027053849,9.331,270.2,0.944,0.019208,1.139422626507537,539.1892882961112,1.9955192016880503,1.2088947202565736,>0.9,>0.9
K02109,11499228,K02109.01,19.7919389,0,19.79291857999999,4.949894019679463e-05,thick,single,0.4031149160132641,0.6856033026061624,0.8138220559306848,0.4809720885332761,0.4183619449768178,0.7621101998505323,4000,geometric,posteriors_48/K02109_K02109_01_eomega_posterior.npz,1,3.2966235145226856,0.01840013207974352,0.4537483088837393,3.787,383.7,0.954,0.022714,0.8705105662853673,338.5648605520066,0.8823686748814351,0.8100788975849045,>0.9,<0.5
K02135,9904006,K02135.03,8.48651582,0,8.484890638928574,0.000191501566237,thick,multi,0.0469451483790425,0.1954154820811098,0.5334588689903599,1.1795666592419942,1.033262257827022,1.8580005985553063,4000,geometric,posteriors_48/K02135_K02135_03_eomega_posterior.npz,3,5.291662985028291,0.010270015491669471,0.5724576904292512,5.267,110.8,0.009,0.009651,1.004682548894682,105.47321819913094,0.9519243519777161,1.0641400364386562,<0.5,0.5-0.8
K02135,9904006,K02135.02,20.1890396,1,20.190309999999958,6.292523196363646e-05,thick,multi,0.0599332118283475,0.1989425580004855,0.5249058971814976,1.0410032011581518,0.8975060423938483,1.62627767529584,4000,geometric,posteriors_48/K02135_K02135_02_eomega_posterior.npz,3,6.127433483848707,0.009942301642208242,0.557553092974112,6.251,112.1,0.541,0.010011,0.980232520212559,98.8493619446567,0.881796270692745,0.9931377127368136,0.5-0.8,0.5-0.8
K02135,9904006,K02135.01,55.1866213,2,55.1854718583333,2.082826669980838e-05,thick,multi,0.048825195276609,0.1750680281057833,0.5082839532360159,1.0641703743111726,0.9337869595576916,1.716702016524179,4000,geometric,posteriors_48/K02135_K02135_01_eomega_posterior.npz,3,8.9809521529934,0.01791438625777179,0.3964645526315762,9.133,375.5,0.225,0.017841,0.9833518179123399,320.9252349926428,0.8546610785423243,1.0041133489026284,<0.5,<0.5
K02148,6021193,K02148.03,3.61460279,0,3.610656448333335,0.0010917774084563,thick,multi,0.0845115023721081,0.2541558901693742,0.5607506108902643,0.9623184765661308,0.8172878459493087,1.5117731546136806,4000,geometric,posteriors_48/K02148_K02148_03_eomega_posterior.npz,3,3.390471085328705,0.00733396627777315,0.4970651185424032,3.227,64.8,0.516,0.007519,1.0506572932533949,53.78706136351375,0.8300472432641012,0.9753911793819857,0.5-0.8,<0.5
K02148,6021193,K02148.02,7.54235832,1,7.54409054000007,0.0002296655669987,thick,multi,0.0521649675803092,0.1822783777519571,0.5136002484168718,1.0573619149565934,0.9219916211592808,1.6863122227162062,4000,geometric,posteriors_48/K02148_K02148_02_eomega_posterior.npz,3,4.832860723806358,0.010396482275145124,0.47743555238995866,4.73,132.5,0.318,0.0105,1.0217464532360163,108.08684369740674,0.8157497637540131,0.9901411690614403,<0.5,<0.5
K02148,6021193,K02148.01,11.93205399,2,11.93258486000002,4.449108263043864e-05,thick,multi,0.0418530669817039,0.1842415959587517,0.5245429578225644,1.172560312212655,1.0304217660611277,1.8742620621637427,4000,geometric,posteriors_48/K02148_K02148_01_eomega_posterior.npz,3,6.293373427425647,0.01225831708477178,0.44377047775923106,6.205,178.5,0.123,0.01206,1.0142422928969617,150.26633775080768,0.8418282226936005,1.0164442027173948,<0.5,<0.5
K02154,12505076,K02154.01,11.92979348,0,11.927843244999965,0.0001634760067982,thick,single,0.0842559437891781,0.2651078156947569,0.5848300266395415,1.276072784351164,1.0841904288670292,1.9725505219205584,4000,geometric,posteriors_48/K02154_K02154_01_eomega_posterior.npz,1,6.54370068733692,0.02518580098209169,0.6024026607974522,6.152,709.3,0.003,0.0242,1.063670462831099,634.3245711095308,0.8942965897497968,1.040735577772384,<0.5,0.5-0.8
K02209,8168187,K02209.01,18.3027235,0,18.301964979999862,4.144301257312823e-05,thick,multi,0.0425028064082633,0.1862764188276259,0.5246936078888473,1.1708909685123765,1.0141917230819673,1.8190059422299416,4000,geometric,posteriors_48/K02209_K02209_01_eomega_posterior.npz,2,8.61914068546875,0.013217948705907308,0.6174175702458922,8.262,186.7,0.742,0.013531,1.0432269045592775,174.7141679919967,0.9358016496625426,0.9768641420373445,0.5-0.8,0.5-0.8
K02209,8168187,K02209.02,35.502865,1,35.51553501999996,0.000356873170657,thick,multi,0.0573736996931728,0.2075465218392531,0.5365623468691856,1.1314479796025108,0.932765790064395,1.7964133851935962,3999,geometric,posteriors_48/K02209_K02209_02_eomega_posterior.npz,2,9.995678863022025,0.009987999086249009,0.4907460252240655,8.149,115.9,0.783,0.010848,1.2266141689804917,99.76012574691103,0.8607431039422867,0.9207226296320989,0.5-0.8,<0.5
K02256,9112931,K02256.01,10.71253475,0,10.713640520000013,0.0001032220688957,thick,single,0.0786894576405732,0.2242199001296591,0.5431141586589955,0.9917915331962728,0.8615331330350477,1.5959209241073808,3999,geometric,posteriors_48/K02256_K02256_01_eomega_posterior.npz,1,2.6798076489972678,0.03217000503533776,0.48221945116756854,2.7186,1198.6,0.72,0.034061,0.9857307617881512,1034.909223973657,0.8634316902833781,0.9444821066714941,0.5-0.8,<0.5
K02263,8613535,K02263.02,9.47850818,0,9.47571000000005,0.0002952131228683,thick,multi,0.0367818329490799,0.1652685968956554,0.5036839272594645,1.119575632162934,0.9872172173984234,1.7704833511658011,4000,geometric,posteriors_48/K02263_K02263_02_eomega_posterior.npz,3,6.101356919976761,0.012311087116837826,0.407678369006618,6.154,184.6,0.112,0.012482,0.9914457133533899,151.56286599837028,0.8210339436531435,0.9863072517896031,<0.5,<0.5
K02263,8613535,K02263.03,15.5943758,1,15.59084256999995,0.0002265707871455,thick,multi,0.0453687677434582,0.1900931424640598,0.5256324369153745,1.1567135775203985,0.9864819928064416,1.7988810859658613,4000,geometric,posteriors_48/K02263_K02263_03_eomega_posterior.npz,3,7.188076928305555,0.009284380585653887,0.4790972625676232,7.367,95.4,0.5,0.009192,0.9757128991863112,86.19972285926681,0.9035610362606584,1.0100501072295351,<0.5,<0.5
K02263,8613535,K02263.01,29.9685917,2,29.96792413500006,2.2275487838160245e-05,thick,multi,0.1337067296223655,0.3189161847064735,0.604452364791516,0.8734649187751069,0.751796759549828,1.4104330449801838,4000,geometric,posteriors_48/K02263_K02263_01_eomega_posterior.npz,3,6.855359294629587,0.016671257334275158,0.5040219843729675,6.678,309.5,0.282,0.016258,1.0265587443290787,277.93082110562324,0.8979994219890897,1.0254187067459193,<0.5,0.5-0.8
K02271,10329469,K02271.01,55.8224775,0,55.82345187249997,1.7454841555090743e-05,thick,single,0.0392871527357569,0.1789200065126243,0.5197414534385228,1.1677306207849176,1.01956196871693,1.868394226613972,4000,geometric,posteriors_48/K02271_K02271_01_eomega_posterior.npz,1,5.568517151415518,0.027231329447328857,0.38835617870942063,5.457,879.6,0.031,0.026492,1.0204356150660654,741.5453034689598,0.8430483213608001,1.0279076493782597,<0.5,<0.5
K02288,3440978,K02288.01,38.103908,0,38.09896487499998,0.0001297275072157,thick,single,0.2821375988330059,0.5389549003895698,0.7367248121755817,0.6298836432749219,0.5355318003511829,0.9076171543805224,3997,geometric,posteriors_48/K02288_K02288_01_eomega_posterior.npz,1,3.203383564910159,0.03177089313238442,0.8464784080458188,3.837,961.1,0.987,0.048466,0.8348667096455978,1009.3896504293914,1.0502441477779538,0.6555295079516448,>0.9,0.8-0.9
K02316,7504778,K02316.01,17.1369408,0,17.13270592999993,0.0002471193691742,thick,single,0.0529974383923932,0.1891121084033082,0.5186147363727917,1.0512249862071452,0.9119844176212156,1.715842618666005,4000,geometric,posteriors_48/K02316_K02316_01_eomega_posterior.npz,1,6.3485469760450925,0.017891949834303318,0.43172680026042054,6.416,362.1,0.03,0.017456,0.9894867481367039,320.12186887322656,0.8840703365733956,1.0249742114060105,<0.5,<0.5
K02356,11461844,K02356.01,13.6823798,0,13.686830729999995,0.0003253037896227,thick,single,0.2877122522961263,0.5643419684536023,0.7487555396577044,0.6107631150897745,0.5142848589028607,0.966622615319308,4000,geometric,posteriors_48/K02356_K02356_01_eomega_posterior.npz,1,4.061368840929789,0.012992155427934846,0.5028974054229653,4.153,179.6,0.595,0.012774,0.9779361524030313,168.79610266361686,0.9398446696192476,1.0170780826628185,0.5-0.8,0.5-0.8
K02479,5963582,K02479.01,25.5433704,0,25.54199244499995,5.394570013564503e-05,thick,single,0.12503673004939,0.2952033224765523,0.590661853768426,0.8849518774142372,0.7786414755837673,1.449466249200958,4000,geometric,posteriors_48/K02479_K02479_01_eomega_posterior.npz,1,8.725846351568997,0.011258803070031295,0.44877412118832644,8.567,138.6,0.44,0.010853,1.0185416542043886,126.7606465697461,0.9145789795796977,1.0373908661228504,<0.5,<0.5
K02490,3122913,K02490.01,11.60653061,0,11.605935509999997,5.127285835894492e-05,thick,single,0.1908163158656056,0.4203866433017501,0.6650842476524792,0.755109571413765,0.6457649879465025,1.1609383105847144,3998,geometric,posteriors_48/K02490_K02490_01_eomega_posterior.npz,1,2.1226405176741086,0.02625614140506307,0.5156410881601168,2.194,771.7,0.024,0.024534,0.9674751675816357,689.3849614826673,0.8933328514742351,1.0701940737369802,<0.5,0.5-0.8
K02541,12306058,K02541.01,7.41683033,0,7.414251570000033,0.0003476903050533,thick,multi,0.0613918419032676,0.2229667491011101,0.5551685091014802,1.2110771375746858,1.044070687019053,1.8999115424156632,3998,geometric,posteriors_48/K02541_K02541_01_eomega_posterior.npz,2,9.679742219077275,0.01383219137452724,0.9922420027442146,7.274,72.6,0.873,0.009246,1.3307316770796362,191.32951822154575,2.63539281296895,1.4960189676105602,0.8-0.9,>0.9
K02541,12306058,K02541.02,20.4853893,1,20.49696937500005,0.0005652845953016,thick,multi,0.12055732290138,0.3046635776960255,0.5951426108313428,0.884232155736695,0.7655557214280365,1.413765475763643,4000,geometric,posteriors_48/K02541_K02541_02_eomega_posterior.npz,2,9.854421304275071,0.008802844600722975,0.32494446751243805,10.229,89.5,0.834,0.009922,0.9633807121199601,77.49007306447764,0.8658108722288005,0.8872046563921564,0.8-0.9,<0.5
K02563,5175024,K02563.02,6.2614227,0,6.25682831000006,0.0007337613542589,thick,multi,0.0718561913041308,0.2638670794665128,0.5864738461888029,1.3373108936817446,1.0291342263925438,2.0892819225674524,4000,geometric,posteriors_48/K02563_K02563_02_eomega_posterior.npz,2,6.485245254899384,0.006579838871105452,0.6624363441497759,4.779,51.4,0.069,0.006608,1.3570297666665379,43.29427956971027,0.8423011589437795,0.9957383279517935,<0.5,0.5-0.8
K02563,5175024,K02563.01,23.4772553,1,23.49243841750007,0.0006467160366939,thick,multi,0.1360148412501396,0.3198545641035168,0.6046922261035104,0.8660740758655676,0.7525505459396693,1.4028436118047256,4000,geometric,posteriors_48/K02563_K02563_01_eomega_posterior.npz,2,6.806036367699728,0.011341779764189232,0.4526640326203954,6.735,141.4,0.013,0.010955,1.0105473448700413,128.63596821937236,0.9097310340832557,1.035306231327178,<0.5,<0.5
K02775,6346809,K02775.01,17.57704569,0,17.577838346666642,4.509612597152041e-05,thick,single,0.5309379921683071,0.7700639693851697,0.8682187859227949,0.3961627734574521,0.3209899752258525,0.6006540938726543,4000,geometric,posteriors_48/K02775_K02775_01_eomega_posterior.npz,1,1.344791621216479,0.025869542944923895,0.6581024596418598,2.022,670.0,1.25,0.27658,0.6650799313632438,669.2332521792616,0.9988556002675547,0.09353367179450392,>0.9,0.5-0.8
K02972,8949925,K02972.01,13.2511214,0,13.25065319500004,3.533323602029706e-05,thick,multi,0.0979685829223774,0.2693207741203304,0.5731745989960649,0.9498672808982564,0.8066142557385372,1.5664725477022587,4000,geometric,posteriors_48/K02972_K02972_01_eomega_posterior.npz,2,5.274652669960373,0.015329728240505812,0.4672013968387682,4.996,266.5,0.231,0.014901,1.0557751541153668,235.00056792776144,0.8818032567645833,1.0287717764247912,<0.5,<0.5
K02972,8949925,K02972.02,42.0292298,1,42.03897669499997,0.0002319075330752,thick,multi,0.0723261244024454,0.2474792848573363,0.564092354453996,1.1357167006108957,0.8850430691436438,1.767906526152111,3997,geometric,posteriors_48/K02972_K02972_02_eomega_posterior.npz,2,9.18917667515805,0.02122778522393666,0.9373267378006646,8.499,373.7,0.015,0.017546,1.0812068096432579,450.6188655135836,1.205830520507315,1.2098361577531438,<0.5,>0.9
