koi_target,kepid,kepoi_name,koi_period,alderaan_planet_index,alderaan_period_days,period_relative_difference,disk,system,e16,e50,e84,zeta_median,zeta_p16,zeta_p84,n_zeta,impact_mode,posterior_file
K02263,8613535,K02263.02,9.47850818,0,9.47571000000005,0.00029521312286837575,thick,multi,0.03678183294907995,0.1652685968956554,0.5036839272594645,1.119575632162934,0.9872172173984234,1.7704833511658011,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02263_K02263_02_eomega_posterior.npz
K02263,8613535,K02263.03,15.5943758,1,15.59084256999995,0.00022657078714558905,thick,multi,0.04536876774345823,0.19009314246405984,0.5256324369153745,1.1567135775203985,0.9864819928064417,1.7988810859658613,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02263_K02263_03_eomega_posterior.npz
K02263,8613535,K02263.01,29.9685917,2,29.96792413500006,2.2275487838160245e-05,thick,multi,0.1337067296223655,0.31891618470647354,0.604452364791516,0.8734649187751069,0.751796759549828,1.4104330449801838,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02263_K02263_01_eomega_posterior.npz
K02271,10329469,K02271.01,55.8224775,0,55.82345187249997,1.7454841555090743e-05,thick,single,0.03928715273575691,0.17892000651262432,0.5197414534385228,1.1677306207849176,1.01956196871693,1.868394226613972,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02271_K02271_01_eomega_posterior.npz
K02288,3440978,K02288.01,38.103908,0,38.09896487499998,0.00012972750721574952,thick,single,0.2821375988330059,0.5389549003895698,0.7367248121755817,0.6298836432749219,0.5355318003511829,0.9076171543805225,3997,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02288_K02288_01_eomega_posterior.npz
K02316,7504778,K02316.01,17.1369408,0,17.13270592999993,0.0002471193691742389,thick,single,0.05299743839239321,0.18911210840330828,0.5186147363727917,1.0512249862071452,0.9119844176212156,1.715842618666005,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02316_K02316_01_eomega_posterior.npz
K02356,11461844,K02356.01,13.6823798,0,13.686830729999997,0.00032530378962271605,thick,single,0.2877122522961263,0.5643419684536023,0.7487555396577044,0.6107631150897745,0.5142848589028607,0.966622615319308,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02356_K02356_01_eomega_posterior.npz
K02479,5963582,K02479.01,25.5433704,0,25.54199244499995,5.394570013564503e-05,thick,single,0.12503673004939003,0.2952033224765523,0.590661853768426,0.8849518774142372,0.7786414755837673,1.449466249200958,4000,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02479_K02479_01_eomega_posterior.npz
K02490,3122913,K02490.01,11.60653061,0,11.605935509999995,5.127285835894492e-05,thick,single,0.1908163158656056,0.4203866433017501,0.6650842476524792,0.755109571413765,0.6457649879465025,1.1609383105847144,3998,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02490_K02490_01_eomega_posterior.npz
K02541,12306058,K02541.01,7.41683033,0,7.414251570000033,0.0003476903050533592,thick,multi,0.061391841903267616,0.22296674910111017,0.5551685091014802,1.2110771375746858,1.044070687019053,1.8999115424156632,3998,geometric,C:\Users\shres\AppData\Local\Temp\claude\C--Users-shres-Desktop-HILDALE-ALDERAN\cd73cd6f-869d-454d-a23b-4f902c46af9f\scratchpad\audit48\posteriors_48\K02541_K02541_01_eomega_posterior.npz
