koi_target,kepoi_name,kepid,period_days,disposition,seedable,included_in_alderaan_system,inside_population_period_cut
K01932,K01932.02,5202905,14.8444836,CONFIRMED,True,True,True
K01932,K01932.01,5202905,22.8245144,CONFIRMED,True,True,True
K02010,K02010.01,5631630,25.96190067,CONFIRMED,True,True,True
K02011,K02011.01,5384079,7.05675145,CONFIRMED,True,True,True
K02011,K02011.02,5384079,17.2653659,CONFIRMED,True,True,True
K02016,K02016.01,8492026,4.30656389,CONFIRMED,True,True,True
K02042,K02042.01,9111849,63.0732241,CANDIDATE,True,True,True
K02046,K02046.01,10663396,23.8990075,CONFIRMED,True,True,True
K02069,K02069.01,11360571,77.2550726,CONFIRMED,True,True,True
K02138,K02138.01,5022828,23.5541012,CONFIRMED,True,True,True
K02149,K02149.01,10617017,13.15140223,CONFIRMED,True,True,True
K02175,K02175.01,9022166,26.8475962,CONFIRMED,True,True,True
K02175,K02175.02,9022166,72.3826983,CONFIRMED,True,True,True
K02198,K02198.01,11075429,23.9210408,CONFIRMED,True,True,True
K02243,K02243.01,4770617,5.18560081,CONFIRMED,True,True,True
K02243,K02243.02,4770617,8.45805119,CONFIRMED,True,True,True
K02243,K02243.03,4770617,31.4452709,CANDIDATE,True,True,True
K02276,K02276.01,3458028,1.442592305,CONFIRMED,True,True,True
K02370,K02370.01,5385304,78.7327023,CANDIDATE,True,True,True
K02401,K02401.01,10336951,38.2292037,CANDIDATE,True,True,True
K02445,K02445.01,6516185,47.3659328,CANDIDATE,True,True,True
K02457,K02457.01,9753154,3.70429015,CONFIRMED,True,True,True
K02516,K02516.01,7294743,2.81043228,CANDIDATE,True,True,True
K02524,K02524.01,7515762,40.9905002,CONFIRMED,True,True,True
K02577,K02577.01,12257999,18.55581565,CANDIDATE,True,True,True
K02610,K02610.01,2305866,24.1073172,CANDIDATE,True,True,True
K02610,K02610.02,2305866,115.230655,CANDIDATE,True,True,False
K02632,K02632.01,11337566,7.12815163,CONFIRMED,True,True,True
K02696,K02696.02,11071200,44.5643831,CANDIDATE,True,True,True
K02696,K02696.01,11071200,96.4562198,CANDIDATE,True,True,True
K02706,K02706.01,9697131,3.09756897,CANDIDATE,True,True,True
K02728,K02728.01,4178606,42.3520039,CONFIRMED,True,True,True
K02829,K02829.01,6197215,10.61345333,CONFIRMED,True,True,True
K02830,K02830.01,9244508,40.5289885,CONFIRMED,True,True,True
K02838,K02838.02,6607357,4.77466043,CONFIRMED,True,True,True
K02838,K02838.01,6607357,7.69994466,CONFIRMED,True,True,True
K02914,K02914.01,6837283,21.1181653,CANDIDATE,True,True,True
K02935,K02935.01,8259713,27.8813154,CANDIDATE,True,True,True
K02956,K02956.01,8801316,3.93766786,CONFIRMED,True,True,True
K02984,K02984.01,7918652,11.45541896,CANDIDATE,True,True,True
K03008,K03008.01,9070666,2.99792926,CONFIRMED,True,True,True
K03125,K03125.01,8751796,4.45342418,CONFIRMED,True,True,True
K03165,K03165.01,9579208,4.11754421,CANDIDATE,True,True,True
K03190,K03190.01,5985713,8.95294046,CANDIDATE,True,True,True
K03203,K03203.01,3122872,96.81647,CANDIDATE,True,True,True
K03209,K03209.02,7017274,6.77067637,CANDIDATE,True,True,True
K03209,K03209.01,7017274,11.91256675,CANDIDATE,True,True,True
K03226,K03226.02,5544450,6.93650854,CANDIDATE,True,True,True
K03277,K03277.01,3120904,42.9136635,CONFIRMED,True,True,True
K03341,K03341.02,5621333,11.5474983,CANDIDATE,True,True,True
K03341,K03341.01,5621333,27.0965146,CANDIDATE,True,True,True
K03398,K03398.03,3561464,4.32710579,CANDIDATE,True,True,True
K03398,K03398.01,3561464,7.31945294,CONFIRMED,True,True,True
K03398,K03398.02,3561464,35.8007112,CONFIRMED,True,True,True
K03425,K03425.02,9117416,3.15722086,CONFIRMED,True,True,True
K03425,K03425.03,9117416,7.64370363,CANDIDATE,True,True,True
K03425,K03425.01,9117416,20.034708,CONFIRMED,True,True,True
K03439,K03439.01,4282191,41.7084063,CONFIRMED,True,True,True
K03460,K03460.01,9664276,62.596544,CANDIDATE,True,True,True
K03468,K03468.01,5213404,20.7057153,CONFIRMED,True,True,True
K03486,K03486.01,8121328,19.0689513,CANDIDATE,True,True,True
K03496,K03496.02,7517261,8.5433774,CANDIDATE,True,True,True
K03496,K03496.01,7517261,23.2385587,CONFIRMED,True,True,True
K03500,K03500.02,6058816,4.7482669,CANDIDATE,True,True,True
K03500,K03500.01,6058816,73.7502765,CONFIRMED,True,True,True
K03728,K03728.01,7515679,5.546083089,CONFIRMED,True,True,True
K03943,K03943.01,7679812,38.5763483,CONFIRMED,True,True,True
K04166,K04166.01,4078311,9.84262076,CONFIRMED,True,True,True
K04189,K04189.01,9897364,64.2729088,CONFIRMED,True,True,True
K04226,K04226.01,9491832,49.564693,CANDIDATE,True,True,True
K04267,K04267.01,7450747,2.20829637,CONFIRMED,True,True,True
K04318,K04318.01,9286088,14.8162925,CANDIDATE,True,True,True
K04341,K04341.01,6792908,10.778313,CANDIDATE,True,True,True
K04363,K04363.01,9776794,18.22211768,CANDIDATE,True,True,True
K04377,K04377.01,4945764,19.8751355,CANDIDATE,True,True,True
K04443,K04443.01,5780855,5.67577999,CANDIDATE,True,True,True
K04482,K04482.01,7778427,5.38299284,CANDIDATE,True,True,True
K04523,K04523.01,8700895,5.68251605,CANDIDATE,True,True,True
K04747,K04747.01,8047428,92.263742,CONFIRMED,True,True,True
K04773,K04773.01,7906892,8.8493948,CANDIDATE,True,True,True
K04773,K04773.02,7906892,11.1438086,CANDIDATE,True,True,True
K04775,K04775.01,8626325,16.4491515,CANDIDATE,True,True,True
K04793,K04793.01,6220312,5.2736268,CANDIDATE,True,True,True
K04818,K04818.01,9459162,3.79892774,CANDIDATE,True,True,True
K04833,K04833.01,10584140,4.31724247,CANDIDATE,True,True,True
K04913,K04913.01,5769810,6.78788113,CANDIDATE,True,True,True
K04913,K04913.02,5769810,8.97377221,CANDIDATE,True,True,True
K04963,K04963.01,3101178,59.4037839,CANDIDATE,True,True,True
K04977,K04977.01,3425363,25.5338535,CANDIDATE,True,True,True
K05046,K05046.01,4164511,40.9882124,CANDIDATE,True,True,True
K05178,K05178.01,5551240,4.13960513,CONFIRMED,True,True,True
K05406,K05406.01,7625138,5.71966537,CANDIDATE,True,True,True
K05411,K05411.01,7672215,11.1734401,CANDIDATE,True,True,True
K05475,K05475.02,8105398,5.68325648,CANDIDATE,True,True,True
K05475,K05475.01,8105398,224.150923,CONFIRMED,True,True,False
K05497,K05497.01,8279146,93.359737,CANDIDATE,True,True,True
K05568,K05568.01,8745553,62.134919,CONFIRMED,True,True,True
K05748,K05748.01,9993683,29.9371143,CANDIDATE,True,True,True
K05895,K05895.01,11407847,11.8307724,CANDIDATE,True,True,True
K05934,K05934.01,11811382,19.3854894,CANDIDATE,True,True,True
K06068,K06068.01,9418619,6.150251376,CANDIDATE,True,True,True
K06102,K06102.01,3545840,54.2916336,CANDIDATE,True,True,True
K06118,K06118.02,4739229,4.66185924,CANDIDATE,True,True,True
K06118,K06118.01,4739229,571.280892,CANDIDATE,True,True,False
K06168,K06168.02,7974634,75.072964,CANDIDATE,True,True,True
K06168,K06168.01,7974634,131.258668,CANDIDATE,True,True,False
K06301,K06301.01,2994092,50.271927,CANDIDATE,True,True,True
K06342,K06342.01,3547178,8.1770751,CANDIDATE,True,True,True
K06949,K06949.01,8007675,2.352446342,CANDIDATE,True,True,True
K07072,K07072.01,8624860,15.3902613,CANDIDATE,True,True,True
K07076,K07076.01,8693536,16.2347636,CANDIDATE,True,True,True
K07415,K07415.01,11182260,1.291964282,CANDIDATE,True,True,True
K07506,K07506.01,12016243,11.8436119,CANDIDATE,True,True,True
K07546,K07546.01,3965201,44.113873,CANDIDATE,True,True,True
K07572,K07572.01,6876575,91.069934,CANDIDATE,True,True,True
K07593,K07593.01,8444868,67.412998,CANDIDATE,True,True,True
K07780,K07780.01,6451368,5.3360574,CANDIDATE,True,True,True
K07882,K07882.01,8364232,65.415183,CANDIDATE,True,True,True
K07991,K07991.01,10198225,11.9451376,CANDIDATE,True,True,True
K08007,K08007.01,10403228,67.176626864,CANDIDATE,True,True,True
K08035,K08035.01,10862759,29.4856392,CANDIDATE,True,True,True
K08052,K08052.01,11358305,7.8687123,CANDIDATE,True,True,True
K08054,K08054.01,11443757,43.9088053,CANDIDATE,True,True,True
K08082,K08082.01,12602999,8.2766028,CANDIDATE,True,True,True
