,koi_id,kic_id,npl,period,epoch,depth,duration,impact,limbdark_1,limbdark_2
34,K00673,7124613,1,4.41746257,170.79073,291.0,2.965,0.085,0.2938,0.311
35,K00674,7277317,1,16.33888067,177.917586,1718.4,9.3599,0.256,0.5703,0.1585
36,K00685,7764367,1,3.173914037,170.92525,303.0,3.6069,0.819,0.2958,0.3168
37,K00840,5651104,1,3.04033046,169.9490106,10859.0,1.8411,0.736,0.5575,0.1611
38,K00972,11013201,2,7.82187328,123.49907,42.2,3.8417,0.005,0.3715,0.2369
39,K00972,11013201,2,13.118962443,261.539434,372.2,4.3045,0.042,0.3715,0.2369
40,K01117,3114811,1,11.08956602,141.76142,148.1,6.2877,0.02,0.3135,0.3044
41,K01154,10295951,1,6.810823723,136.04667,14447.0,7.98574,0.57,0.2412,0.3287
42,K01221,3640905,2,30.1599411,138.51774,175.9,7.874,0.802,0.5703,0.1585
43,K01221,3640905,2,51.0771048,152.35694,141.5,11.233,0.498,0.5703,0.1585
44,K01309,10854768,1,10.1171684,137.44489,288.7,4.6677,0.296,0.3279,0.3061
45,K01525,7869917,2,7.71467686,133.55635,233.9,4.5871,0.899,0.2544,0.3299
46,K01525,7869917,2,11.8061737,138.2641,88.1,4.472,0.905,0.2544,0.3299
47,K01597,5039228,1,7.79668781,134.42081,361.3,4.6699,0.005,0.3031,0.3155
48,K01602,4860678,2,3.03359398,133.08355,95.6,4.026,0.023,0.4641,0.2286
49,K01602,4860678,2,9.97716876,137.2361,252.9,5.908,0.002,0.4641,0.2286
50,K01622,7287683,1,69.8347983,168.78436,266.6,8.262,0.672,0.2374,0.3299
51,K01788,2975770,2,71.52543938,191.69147,5904.3,5.9189,0.066,0.6323,0.1054
52,K01788,2975770,2,369.069345,298.3962,945.9,5.832,0.929,0.6323,0.1054
53,K01814,5621125,1,14.80075082,132.82179,501.4,5.762,0.367,0.3232,0.3215
54,K01852,9763348,1,15.77382794,137.53051,313.6,4.957,0.035,0.3166,0.303
55,K01886,9549648,1,5.99185827,136.88244,186.3,1.7215,0.905,0.3201,0.305
56,K01921,7755636,1,16.00496657,135.25305,377.5,6.5047,0.013,0.2958,0.3168
57,K01932,5202905,2,14.8444836,143.576,177.9,6.091,0.149,0.2736,0.3218
58,K01932,5202905,2,22.8245144,144.46843,322.7,6.617,0.279,0.2736,0.3218
59,K02010,5631630,1,25.96190067,138.96908,350.3,6.2732,0.02,0.3236,0.3052
60,K02011,5384079,2,7.05675145,132.53512,130.0,2.0261,0.631,0.2958,0.3168
61,K02011,5384079,2,17.2653659,135.3549,67.9,5.02,0.007,0.2958,0.3168
62,K02016,8492026,1,4.30656389,132.44098,257.0,4.1107,0.894,0.3661,0.2844
63,K02042,9111849,1,63.0732241,191.2532,671.3,5.397,0.746,0.3232,0.3215
64,K02046,10663396,1,23.8990075,151.39847,293.4,15.955,0.153,0.4554,0.2329
65,K02069,11360571,1,77.2550726,159.32399,589.5,10.214,0.837,0.2914,0.311
66,K02138,5022828,1,23.5541012,144.21486,95.2,7.3,0.536,0.2099,0.2915
67,K02149,10617017,1,13.15140223,144.16237,97.8,5.439,0.872,0.3236,0.3052
68,K02175,9022166,2,26.8475962,142.17023,254.1,10.068,0.457,0.4554,0.2329
69,K02175,9022166,2,72.3826983,179.49813,366.4,8.279,0.791,0.4554,0.2329
70,K02198,11075429,1,23.9210408,139.07872,158.3,5.174,0.936,0.2559,0.3269
71,K02243,4770617,3,5.18560081,132.32455,252.6,4.054,0.012,0.3279,0.3061
72,K02243,4770617,3,8.45805119,137.06123,258.7,2.998,0.697,0.3279,0.3061
73,K02243,4770617,3,31.4452709,154.58136,531.1,1.758,0.97,0.3279,0.3061
74,K02276,3458028,1,1.442592305,134.07188,166.0,2.9698,0.207,0.2367,0.3338
75,K02370,5385304,1,78.7327023,168.72926,495.8,5.041,0.956,0.2736,0.3218
76,K02401,10336951,1,38.2292037,166.01191,605.8,3.893,0.571,0.6414,0.0966
77,K02445,6516185,1,47.3659328,175.0355,757.0,7.929,1.085,0.3858,0.2711
78,K02457,9753154,1,3.70429015,132.21478,55.7,3.37,0.001,0.2774,0.3088
79,K02516,7294743,1,2.81043228,133.40821,47.4,3.874,0.351,0.4554,0.2329
80,K02524,7515762,1,40.9905002,132.4136,297.3,7.336,0.048,0.4046,0.2638
81,K02577,12257999,1,18.55581565,132.07105,565.9,5.372,0.073,0.3651,0.2994
82,K02610,2305866,2,24.1073172,145.9415,104.2,10.465,0.693,0.2938,0.311
83,K02610,2305866,2,115.230655,176.644,164.4,17.735,0.95,0.2938,0.311
84,K02632,11337566,1,7.12815163,136.88006,45.9,5.522,0.201,0.3279,0.3061
85,K02696,11071200,2,44.5643831,143.43526,360.5,7.874,0.851,0.2559,0.3259
86,K02696,11071200,2,96.4562198,214.74931,950.5,11.195,0.775,0.2559,0.3259
87,K02706,9697131,1,3.09756897,131.55889,83.3,4.588,0.408,0.3236,0.3052
88,K02728,4178606,1,42.3520039,131.61246,512.6,7.773,0.659,0.2734,0.318
89,K02829,6197215,1,10.61345333,135.6898,150.2,0.9829,0.535,0.3958,0.2678
90,K02830,9244508,1,40.5289885,168.01669,360.7,10.604,0.325,0.2968,0.3318
91,K02838,6607357,2,4.77466043,135.16338,54.3,3.804,0.03,0.4035,0.2622
92,K02838,6607357,2,7.69994466,134.39282,70.9,4.432,0.018,0.4035,0.2622
93,K02914,6837283,1,21.1181653,133.59196,112.7,9.734,0.675,0.2938,0.311
94,K02935,8259713,1,27.8813154,134.51369,209.2,6.346,0.168,0.2859,0.3124
95,K02956,8801316,1,3.93766786,135.27724,24.3,4.655,0.226,0.3135,0.3044
96,K02984,7918652,1,11.45541896,136.32524,68.6,4.95,0.116,0.3403,0.3016
97,K03008,9070666,1,2.99792926,131.76579,45.4,4.398,0.403,0.3589,0.2891
98,K03125,8751796,1,4.45342418,133.09066,46.6,3.654,0.569,0.319,0.302
99,K03165,9579208,1,4.11754421,132.79189,34.3,4.362,0.312,0.3153,0.3023
100,K03190,5985713,1,8.95294046,134.33731,44.0,2.995,0.718,0.3447,0.2916
101,K03203,3122872,1,96.81647,136.55813,164.7,10.227,0.034,0.2931,0.31
102,K03209,7017274,2,6.77067637,133.34914,65.8,5.982,0.127,0.3279,0.3061
103,K03209,7017274,2,11.91256675,143.15988,123.1,6.126,0.174,0.3279,0.3061
104,K03226,5544450,1,6.93650854,133.98309,88.7,3.674,0.331,0.2951,0.3132
105,K03277,3120904,1,42.9136635,139.88848,160.6,5.227,0.403,0.3671,0.2865
106,K03341,5621333,2,11.5474983,139.9777,115.5,6.684,0.495,0.4046,0.2638
107,K03341,5621333,2,27.0965146,139.3521,208.4,8.42,0.769,0.4046,0.2638
108,K03398,3561464,3,4.32710579,131.5891,84.1,3.872,0.025,0.4109,0.2657
109,K03398,3561464,3,7.31945294,137.22065,166.8,4.881,0.112,0.4109,0.2657
110,K03398,3561464,3,35.8007112,144.92169,417.4,8.219,0.043,0.4109,0.2657
