target_index,koi_target,kepid,disk,system,P_thick,missing_planets,missing_kepoi_names,min_missing_period,max_missing_period,max_missing_snr,target_sample_planets,all_kepoi_names,min_period,max_period,max_snr
243,K03462,9967009,thin,multi,0.0333905856722912,2,"K03462.01,K03462.02",12.4326997,30.9902997,11.5,2,"K03462.01,K03462.02",12.4326997,30.9902997,11.5
244,K03470,9995771,thin,multi,0.0799743476212583,2,"K03470.01,K03470.02",15.0617835,25.4337864,14.3,2,"K03470.01,K03470.02",15.0617835,25.4337864,14.3
245,K04084,3937814,thin,multi,0.0428863633973676,1,K04084.02,10.72900793,10.72900793,10.1,2,"K04084.02,K04084.03",8.19619768,10.72900793,10.1
246,K04269,8890924,thin,multi,0.0242538605054311,2,"K04269.02,K04269.01",4.4408541,26.6565737,18.8,2,"K04269.01,K04269.02",4.4408541,26.6565737,18.8
247,K04382,6937529,thin,multi,0.0243583372253997,2,"K04382.01,K04382.02",2.94648935,3.98167088,12.7,2,"K04382.01,K04382.02",2.94648935,3.98167088,12.7
248,K04435,8278685,thin,multi,0.0676171364006758,2,"K04435.01,K04435.02",10.8614163,17.8693759,12.9,2,"K04435.01,K04435.02",10.8614163,17.8693759,12.9
249,K04772,8397947,thin,multi,0.0382850982682354,1,K04772.02,9.0194714,9.0194714,7.2,2,"K04772.01,K04772.02",3.38080537,9.0194714,11.6
250,K04846,8320630,thin,multi,0.0439720772749783,1,K04846.01,19.254536,19.254536,9.2,2,"K04846.02,K04846.01",19.254536,32.526674,9.7
251,K04896,11135694,thin,multi,0.4101637963837025,2,"K04896.01,K04896.02",19.5945772,49.537365,10.1,2,"K04896.02,K04896.01",19.5945772,49.537365,10.1
252,K05007,3758499,thin,multi,0.0694673053947083,2,"K05007.01,K05007.02",14.5168151,80.881757,12.2,2,"K05007.02,K05007.01",14.5168151,80.881757,12.2
253,K05875,11176166,thin,multi,0.3394142219041046,1,K05875.02,4.2742605,4.2742605,11.4,2,"K05875.01,K05875.02",4.2742605,9.8788502,13.4
254,K06182,8590149,thin,multi,0.0429624646352056,1,K06182.02,28.684308,28.684308,9.1,2,"K06182.01,K06182.02",19.2405821,28.684308,9.1
255,K06516,5092799,thin,multi,0.0310840992866684,1,K06516.01,11.2901559,11.2901559,8.6,2,"K06516.01,K06516.02",11.2901559,28.24753303,8.6
256,K07117,8958939,thin,multi,0.0276247304608679,2,"K07117.01,K07117.02",8.2927558,22.786522,8.4,2,"K07117.01,K07117.02",8.2927558,22.786522,8.4
257,K07685,4141593,thin,multi,0.0386367917118979,2,"K07685.02,K07685.01",33.502923,64.740274,16.4,2,"K07685.01,K07685.02",33.502923,64.740274,16.4
258,K00002,10666592,thin,single,0.0321357943209292,1,K00002.01,2.204735417,2.204735417,5945.9,1,K00002.01,2.204735417,2.204735417,5945.9
259,K00010,6922244,thin,single,0.0386370932901212,1,K00010.01,3.522498429,3.522498429,1741.5,1,K00010.01,3.522498429,3.522498429,1741.5
260,K00018,8191672,thin,single,0.0598844099509565,1,K00018.01,3.548465446,3.548465446,2486.5,1,K00018.01,3.548465446,3.548465446,2486.5
261,K00020,11804465,thin,single,0.0260052258264449,1,K00020.01,4.437962934,4.437962934,3535.6,1,K00020.01,4.437962934,4.437962934,3535.6
262,K00125,11449844,thin,single,0.0577371668774055,1,K00125.01,38.47876629,38.47876629,1077.8,1,K00125.01,38.47876629,38.47876629,1077.8
263,K00134,9032900,thin,single,0.0331045232959809,1,K00134.01,67.5923754,67.5923754,60.9,1,K00134.01,67.5923754,67.5923754,60.9
264,K00142,5446285,thin,single,0.032934043310195,1,K00142.01,10.916108342,10.916108342,302.2,1,K00142.01,10.916108342,10.916108342,302.2
265,K00149,3835670,thin,single,0.0293397195496767,1,K00149.01,14.55730897,14.55730897,200.0,1,K00149.01,14.55730897,14.55730897,200.0
266,K00167,11666881,thin,single,0.0242006087714807,1,K00167.01,4.919584997,4.919584997,132.0,1,K00167.01,4.919584997,4.919584997,132.0
267,K00185,4178389,thin,single,0.0261202734085559,1,K00185.01,23.210509958,23.210509958,958.7,1,K00185.01,23.210509958,23.210509958,958.7
268,K00206,5728139,thin,single,0.0374349196198077,1,K00206.01,5.334082429,5.334082429,653.4,1,K00206.01,5.334082429,5.334082429,653.4
269,K00210,10602291,thin,single,0.1581549143282813,1,K00210.01,20.92735802,20.92735802,263.5,1,K00210.01,20.92735802,20.92735802,263.5
270,K00269,7670943,thin,single,0.0252836452516275,1,K00269.01,18.01164974,18.01164974,60.8,1,K00269.01,18.01164974,18.01164974,60.8
271,K00319,8684730,thin,single,0.0348164922106824,1,K00319.01,46.15119482,46.15119482,286.0,1,K00319.01,46.15119482,46.15119482,286.0
272,K00384,3353050,thin,single,0.0539321664101818,1,K00384.01,5.0800579,5.0800579,56.7,1,K00384.01,5.0800579,5.0800579,56.7
273,K00388,3831053,thin,single,0.3536270051634742,1,K00388.01,6.14955931,6.14955931,87.3,1,K00388.01,6.14955931,6.14955931,87.3
274,K00417,6879865,thin,single,0.0249495179110024,1,K00417.01,19.193103549,19.193103549,258.5,1,K00417.01,19.193103549,19.193103549,258.5
275,K00428,10418224,thin,single,0.0254192870855909,1,K00428.01,6.8731664,6.8731664,535.5,1,K00428.01,6.8731664,6.8731664,535.5
276,K00466,9008220,thin,single,0.2128117767279853,1,K00466.01,9.391039263,9.391039263,141.0,1,K00466.01,9.391039263,9.391039263,141.0
